SERVICE,,"The top level type representing different service types, such as web service, process service",WSKey Application ID , Service ID , Usage Count , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Content,Document,"This is used to define a logic folder to hold service related files, such as definition files (wsdl, xsd) or implementation files (.java, .c#)",Service Content Namespace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Service,SERVICE,The actual type containing a web service contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Folder,,Used to bundle similar types of services together,Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notification Spool,,Represents Notification Spool,Enable For Preference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job,,Object that gets created every time a background job is submitted also to hold input/output/log files during Background Process,Error Message , Start Date , Originator , Title , Aborted Requested , Completion Status , Current Activity , Method Name , Next Step Command , Notify Owner , Program Arguments , Program Name , Progress Percent , Allow Reexecute , Restart Point , Action On Completion , Server Unique Identifier , Auto Start On Startup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Holder,,,Notes , File Meta Data , Data Holder Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEF_MassPromoteDemote_ErrorReport,,For Mass Promote Demote.,MassPromoteDemoteErrorMessage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Process,,All the processes the supplier company is capable of,Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Process,Process,Design processes the supplier company is capable of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturing Process,Process,Manufacturing processes the supplier company is capable of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Testing Process,Process,Testing processes the supplier company is capable of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact Analysis,Abstract Change Analysis,Impact Analysis object for the incident,Designated User , Priority , Severity , Prioritization Benefit , Relative Penalty , Relative Cost , Relative Risk , Estimated Schedule Impact , Quality Impact , Other Requirements Affected , Other Tasks Affected , Life Cycle Cost Issues , Implementation Effort , Validation Effort , Impact Analysis Effort , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route Template,,Route Template,Route Instructions , Co-Owners , Task Edit Setting , Restrict Members , Route Base Purpose , Auto Stop On Rejection , Preserve Task Owner , Requires ESign , Choose Users From User Group , Originator , Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Message,,Message,Sequence Order , Synopsis , Subject , Next Message , Message Name , Originator , Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thread,,Thread,Next Message , Originator , Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meeting,,This type will be used to manage meeting objects.,Meeting ID , Meeting Duration , Meeting Start Date Time , Meeting Location , Conference Call Number , Conference Call Access Code , On Line Meeting Provider , On Line Meeting Instructions , Meeting Type , Meeting Coowners , Originator , Title , Meeting Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task Escalation Message,,Used as a single end point for one or more Task Escalation Message connections from a workspace business object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route Task User,,Route Task User,Route Task User , Originator , Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member List,,Used as Distribution List,Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Change,Change,Engineering Change.,Category of Change , Severity , Reason For Closure , Reason For Rejection , Validation Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Execution,,Test Execution.,Actual End Date , Actual Start Date , Estimated End Date , Estimated Start Date , Percentage Passed , Originator , Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow,,This is the new Type used to expose Workflow Engine functionality in Applications,Actual Completion Date , Branch To , Due Date , Process , Promote Connected , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow Task,,This is the new Type used to expose Workflow Engine Task functionality in Applications,Priority , Actual Completion Date , Branch To , Due Date , Activity , Instructions , Originator , Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxsysDSFAHolder,DOCUMENTS,Holder Object for DSFA Navigation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Group,,P&O Business Group,Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Folder,,Project Folder,Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Member,,Project Member,Create Folder , Create Route , Create Vault , Originator , Project Access , Host Meetings , Project Role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workspace Template,,Used to define a common and repeatable way for creating new Workspace objects,Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URL,,URL,Link URL , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment Definition,URL,Used to describe an application server running on a specific server machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment Instance,,Used to hold the deployment information of a service against a specific Deployment Definition object,Deployment Description Filename , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Key,,Used to hold the service key information,WSKey Application ID , WSKey Credentials , WSKey Value , WSKey Type , WSKey Validity Type , Usage Count , Usage Limit , WSKey Client , Expiration Date , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specification,DOCUMENTS,"the abstract Specification type, which serves as the base type for funtional specification, design specification and test specification",Notes , Version , File Version , Version Date , Synopsis , Objective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLIANCE PART,,Abstract parent type for material compliance related Part types.,Notes , Weight , External Part Version , Import Date , Import File , J-STD-020 Moisture Sensitivity Level , Last Rollup Timestamp , Maximum Cycles At Maximum Temperature , Maximum Temperature Rating , Maximum Time At Maximum Temperature , Modified Timestamp , Part Application , Percent Absolute Weight Deviation , Percent Measured Contained Recyclate , Percent Post Consumer Recyclate , Percent Post Industrial Recyclate , Percent Released Contained Recyclate , Polymeric Marking , Calculated Compliances , Recycling Code Standards , Reduction Plan , Sample Part Availability Date , Selected Equivalent Method , Terminal Plating Surface Finish , Termination Base Alloy , China RoHS Part Classification , IMDS IDs Status , IMDS Component Module ID , IMDS Component Node ID , IMDS Component Version , IMDS Semicomponent Module ID , IMDS Semicomponent Node ID , IMDS Semicomponent Version , IMDS Status , IMDS IDs Saved State , Calculated Exemptions , Calculated Eligible Product Level Applications , Calculated Material Classifications , Calculated Violations , Calculated Applications Weight , Calculated Substance Classifications Base , Calculated Substances Base , Calculated RRR Materials , Calculated Violations Base , Part RRR Classification , RRR Recoverability Rate , RRR Recyclability Rate , Calculated Battery Information , IMDS Calculated Weight , IMDS Weight Deviation , IMDS Weight Tolerance , External Effective Date , Calculated Materials , Unit of Measure , External Revision Date , Originator , Calculated Substance Classifications , Calculated Substances , Calculated Weight , Compliance Transition , Compliance Transition Date , Compliance Transition Part Number , Contains CFCs , EEE Compliance Indicator , Enable Compliance , Estimated Production Start Date , External Part Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance Application,,A specific way in which a Substance is used.,Application Code , Compliance Application Category , Calculated Violations , Application Type , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance Definition,,Set of rules to determine if a Part Material is compliant with internal external regulations.,Modified Timestamp , Rollup , Threshold Type , Display Compliance in Summary Pages , Scope Non Classified Parts , Compliance Scope , Process Scope , External Revision Date , External Revision Level , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance Enterprise Part,COMPLIANCE PART,enterprise part for compliance purposes,Annual Number of EU Units Imported , Leaf Part , WEEE Applicable , Calculated WEEE Classifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance Plant Specific Part,COMPLIANCE PART,Plant specific configuration of the enterprise part,Annual Number of EU Units Imported , Leaf Part , WEEE Applicable , Calculated WEEE Classifications , Is Article , Production In European Union , Safe Use Instructions , SCIP Article Category Identity , SCIP Article Name , SCIP Primary Article Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance Reported Part,COMPLIANCE PART,Supplier reported Part,External Revision Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance Subtier Part,COMPLIANCE PART,copy of the Supplier reported Part in customer view,External Revision Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance Type,,A set of classifications and substance applications referred to by a Compliance Definition.,Application Required , Material Classification Required , Substance Classification Required , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Part Number,,Equivalent customer Part for a given enterprise Part.,Customer Provided , Customer Report Required , IMDS Part Index , IMDS Reference Part Numbers , IMDS Standard Index , IMDS Supplementary Code 1 , IMDS Supplementary Code 2 , IMDS Supplier Site Code , Purchase Order Number , Report Date , Report Number , Supplier Code , IMDS Drawing Date , IMDS No Joker for GADSL , IMDS Recipient Status , IMDS Rejection Explanation , Spare Part , External Revision Date , Customer Uploaded , External Revision Level , Email Address , Originator , Model Year , Bill of Delivery Number , Drawing Change Level , Drawing Date , Drawing Number , Forward Allowed , IMDS Comment , IMDS Concerned Project , IMDS DGT Level , IMDS Engineering IDPA , IMDS Engineering IDVU , IMDS Engineering IM , IMDS Engineering IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Program,,Customer program with which Customer Part Numbers are associated.,Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Specification,Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Log,,,Customer Program , Report Parts With Heavy Metals Only , Report Type , Selected Parts , Selected Substances , Use Thresholds , Selected Compliance Definition , IMDS Contact , IMDS Direct Upload Status , IMDS Status , Percent IMDS Tolerance , Level , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
